INTLDES,NORAD_CAT_ID,OBJECT_TYPE,SATNAME,COUNTRY,LAUNCH,SITE,DECAY,PERIOD,INCLINATION,APOGEE,PERIGEE,COMMENT,COMMENTCODE,RCSVALUE,RCS_SIZE,FILE,LAUNCH_YEAR,LAUNCH_NUM,LAUNCH_PIECE,CURRENT,OBJECT_NAME,OBJECT_ID,OBJECT_NUMBER
"1968-081AA","38700","DEBRIS","TITAN 3C TRANSTAGE DEB","US","1968-09-26","AFETR","","1401.78","3.96","35575","34650","","1","0","SMALL","7203","1968","81","AA","Y","TITAN 3C TRANSTAGE DEB","1968-081AA","38700"
"1968-081AC","38702","DEBRIS","TITAN 3C TRANSTAGE DEB","US","1968-09-26","AFETR","","1408.84","4.57","36148","34355","","","0","SMALL","7288","1968","81","AC","Y","TITAN 3C TRANSTAGE DEB","1968-081AC","38702"
"1968-081AE","38704","DEBRIS","TITAN 3C TRANSTAGE DEB","US","1968-09-26","AFETR","","1408.98","1.63","36064","34444","","","0","SMALL","7289","1968","81","AE","Y","TITAN 3C TRANSTAGE DEB","1968-081AE","38704"
"1968-081T","38693","DEBRIS","TITAN 3C TRANSTAGE DEB","US","1968-09-26","AFETR","","1400.48","2.56","35525","34648","","","0","SMALL","7288","1968","81","T","Y","TITAN 3C TRANSTAGE DEB","1968-081T","38693"
"1969-013M","43454","DEBRIS","TITAN 3C TRANSTAGE DEB","US","1969-02-09","AFETR","","1400.18","4.88","37338","32823","","","0","","7289","1969","13","M","Y","TITAN 3C TRANSTAGE DEB","1969-013M","43454"
"1970-055A","4478","PAYLOAD","INTELSAT 3-F8","ITSO","1970-07-23","AFETR","","1408.08","0.33","36615","33858","","","0","LARGE","7289","1970","55","A","Y","INTELSAT 3-F8","1970-055A","4478"
"1972-101B","6318","ROCKET BODY","ATLAS AGENA R/B","US","1972-12-20","AFETR","","1407.43","13.42","40216","30231","","","0","","7289","1972","101","B","Y","ATLAS AGENA R/B","1972-101B","6318"
"1977-038C","15422","ROCKET BODY","ATLAS AGENA R/B(2)","US","1977-05-23","AFETR","","1407.14","9.71","41529","28906","","","0","","7289","1977","38","C","Y","ATLAS AGENA R/B(2)","1977-038C","15422"
"1993-046C","22738","ROCKET BODY","IABS R/B","US","1993-07-19","AFETR","","1409.87","14.34","35635","34908","","","0","","7288","1993","46","C","Y","IABS R/B","1993-046C","22738"
"1997-049A","24931","PAYLOAD","W75/ABS-1B (HOT BIRD 3)","EUTE","1997-09-02","FRGUI","","1405.14","7.88","35308","35049","","","0","LARGE","7288","1997","49","A","Y","W75/ABS-1B (HOT BIRD 3)","1997-049A","24931"
"2005-049F","29676","DEBRIS","MSG 2 DEB (BAFFLE COVER)","EUME","2005-12-21","FRGUI","","1408.55","8.44","35408","35084","","3","0","SMALL","7273","2005","49","F","Y","MSG 2 DEB (BAFFLE COVER)","2005-049F","29676"
"2011-001B","37345","ROCKET BODY","FREGAT R/B","CIS","2011-01-20","TTMTR","","1400.76","6.01","35760","34424","","","0","LARGE","7289","2011","1","B","Y","FREGAT R/B","2011-001B","37345"
"2012-035F","40872","DEBRIS","MSG 3 DEB (BAFFLE COVER)","EUME","2012-07-05","FRGUI","","1401.60","4.39","35481","34736","","","0","SMALL","7275","2012","35","F","Y","MSG 3 DEB (BAFFLE COVER)","2012-035F","40872"
"2015-034F","40990","DEBRIS","MSG 4 DEB (BAFFLE COVER)","EUME","2015-07-15","FRGUI","","1402.77","1.69","35446","34817","","","0","SMALL","7289","2015","34","F","Y","MSG 4 DEB (BAFFLE COVER)","2015-034F","40990"
"2015-075J","41548","DEBRIS","BREEZE-M DEB","CIS","2015-12-13","TTMTR","","1409.07","3.67","36805","33707","","","0","SMALL","7289","2015","75","J","Y","BREEZE-M DEB","2015-075J","41548"
"2018-036D","43342","DEBRIS","ATLAS CENTAUR DEB","US","2018-04-14","AFETR","","1407.30","1.66","35285","35157","","","0","","7289","2018","36","D","Y","ATLAS CENTAUR DEB","2018-036D","43342"
